gutenberg_id	word
35	paradox
35	idea
35	home
35	resorted
35	caricature
35	clothes
35	brushes
35	future
35	journalist
35	price
35	joined
35	editor
35	easy
35	heaping
35	ridicule
35	journalist
35	joyous
35	irreverent
35	special
35	correspondent
35	day
35	morrow
35	reports
35	journalist
35	shouting
35	time
35	traveller
35	dressed
35	ordinary
35	evening
35	clothes
35	save
35	haggard
35	remained
35	change
35	startled
35	editor
35	hilariously
35	chaps
35	travelling
35	middle
35	week
35	rosebery
35	lot
35	time
35	traveller
35	reserved
35	word
35	smiled
35	quietly
35	mutton
35	treat
35	stick
35	fork
35	meat
35	story
35	cried
35	editor
35	story
35	damned
35	time
35	traveller
35	eat
35	word
35	peptone
35	arteries
35	salt
35	word
35	time
35	travelling
35	time
35	traveller
35	mouth
35	nodding
35	head
35	shilling
35	line
35	verbatim
35	note
35	editor
35	time
35	traveller
35	pushed
35	glass
35	silent
35	rang
35	fingernail
35	silent
35	staring
35	started
35	convulsively
35	poured
35	wine
35	rest
35	dinner
35	uncomfortable
35	sudden
35	questions
35	rising
35	lips
35	dare
35	journalist
35	relieve
35	tension
35	telling
35	anecdotes
35	hettie
35	potter
35	time
35	traveller
35	devoted
35	attention
35	dinner
35	displayed
35	appetite
35	tramp
35	medical
35	smoked
35	cigarette
35	watched
35	time
35	traveller
35	eyelashes
35	silent
35	clumsy
35	usual
35	drank
35	champagne
35	regularity
35	determination
35	sheer
35	nervousness
35	time
35	traveller
35	pushed
35	plate
35	looked
35	round
35	suppose
35	apologize
35	simply
35	starving
35	amazing
35	time
35	reached
35	hand
35	cigar
35	cut
35	smoking
35	story
35	greasy
35	plates
35	ringing
35	bell
35	passing
35	led
35	adjoining
35	told
35	blank
35	dash
35	chose
35	machine
35	leaning
35	easy
35	chair
35	naming
35	guests
35	thing's
35	mere
35	paradox
35	editor
35	argue
35	night
35	mind
35	telling
35	story
35	argue
35	story
35	happened
35	refrain
35	interruptions
35	badly
35	sound
35	lying
35	true
35	word
35	laboratory
35	o'clock
35	lived
35	days
35	days
35	human
35	lived
35	worn
35	sleep
35	till
35	told
35	bed
35	interruptions
35	agreed
35	agreed
35	editor
35	rest
35	echoed
35	agreed
35	time
35	traveller
35	story
35	set
35	sat
35	chair
35	spoke
35	weary
35	animated
35	writing
35	feel
35	keenness
35	inadequacy
35	pen
35	ink
35	inadequacy
35	express
35	quality
35	read
35	suppose
35	attentively
35	speaker's
35	white
35	sincere
35	bright
35	circle
35	lamp
35	hear
35	intonation
35	voice
35	expression
35	story
35	hearers
35	shadow
35	candles
35	smoking
35	lighted
35	journalist
35	legs
35	silent
35	knees
35	downward
35	illuminated
35	glanced
35	time
35	ceased
35	looked
35	time
35	traveller's
35	iii
35	told
35	thursday
35	principles
35	time
35	machine
35	actual
35	incomplete
35	workshop
35	travel
35	worn
35	ivory
35	bars
35	cracked
35	brass
35	rail
35	bent
35	rest
35	sound
35	expected
35	finish
35	friday
35	friday
35	putting
35	found
35	nickel
35	bars
35	inch
35	short
35	remade
35	complete
35	morning
35	ten
35	o'clock
35	day
35	time
35	machines
35	career
35	tap
35	screws
35	drop
35	oil
35	quartz
35	rod
35	sat
35	saddle
35	suppose
35	suicide
35	holds
35	pistol
35	skull
35	feels
35	starting
35	lever
35	hand
35	stopping
35	pressed
35	immediately
35	reel
35	nightmare
35	sensation
35	falling
35	round
35	laboratory
35	happened
35	moment
35	suspected
35	intellect
35	tricked
35	noted
35	clock
35	moment
35	stood
35	minute
35	past
35	ten
35	half
35	past
35	drew
35	breath
35	set
35	teeth
35	gripped
35	starting
35	lever
35	hands
35	thud
35	laboratory
35	hazy
35	dark
35	watchett
35	walked
35	apparently
35	garden
35	door
35	suppose
35	minute
35	traverse
35	shoot
35	rocket
35	pressed
35	lever
35	extreme
35	position
35	night
35	lamp
35	moment
35	morrow
35	laboratory
35	grew
35	faint
35	hazy
35	fainter
35	fainter
35	morrow
35	night
35	black
35	day
35	night
35	day
35	faster
35	faster
35	eddying
35	murmur
35	filled
35	ears
35	strange
35	dumb
35	confusedness
35	descended
35	mind
35	afraid
35	convey
35	peculiar
35	sensations
35	time
35	travelling
35	excessively
35	unpleasant
35	feeling
35	switchback
35	helpless
35	headlong
35	motion
35	horrible
35	anticipation
35	imminent
35	smash
35	pace
35	night
35	day
35	flapping
35	black
35	wing
35	dim
35	suggestion
35	laboratory
35	presently
35	fall
35	sun
35	hopping
35	swiftly
35	sky
35	leaping
35	minute
35	minute
35	marking
35	day
35	supposed
35	laboratory
35	destroyed
35	air
35	dim
35	impression
35	scaffolding
35	fast
35	conscious
35	moving
35	slowest
35	snail
35	crawled
35	dashed
35	fast
35	twinkling
35	succession
35	darkness
35	light
35	excessively
35	painful
35	eye
35	intermittent
35	darknesses
35	moon
35	spinning
35	swiftly
35	quarters
35	faint
35	glimpse
35	circling
35	stars
35	presently
35	gaining
35	velocity
35	palpitation
35	night
35	day
35	merged
35	continuous
35	greyness
35	sky
35	wonderful
35	deepness
35	blue
35	splendid
35	luminous
35	color
35	twilight
35	jerking
35	sun
35	streak
35	fire
35	brilliant
35	arch
35	space
35	moon
35	fainter
35	fluctuating
35	band
35	stars
35	save
35	brighter
35	circle
35	flickering
35	blue
35	landscape
35	misty
35	vague
35	hill
35	house
35	stands
35	shoulder
35	rose
35	grey
35	dim
35	trees
35	growing
35	changing
35	puffs
35	vapour
35	brown
35	green
35	grew
35	spread
35	shivered
35	passed
35	huge
35	buildings
35	rise
35	faint
35	fair
35	pass
35	dreams
35	surface
35	earth
35	changed
35	melting
35	flowing
35	eyes
35	hands
35	dials
35	registered
35	speed
35	raced
35	round
35	faster
35	faster
35	presently
35	noted
35	sun
35	belt
35	swayed
35	solstice
35	solstice
35	minute
35	pace
35	minute
35	minute
35	minute
35	white
35	snow
35	flashed
35	world
35	vanished
35	bright
35	green
35	spring
35	unpleasant
35	sensations
35	start
35	poignant
35	merged
35	hysterical
35	exhilaration
35	remarked
35	clumsy
35	swaying
35	machine
35	unable
35	account
35	mind
35	confused
35	attend
35	madness
35	growing
35	flung
35	futurity
35	scarce
35	stopping
35	scarce
35	sensations
35	presently
35	fresh
35	series
35	impressions
35	grew
35	mind
35	curiosity
35	therewith
35	dread
35	complete
35	possession
35	strange
35	developments
35	humanity
35	wonderful
35	advances
35	rudimentary
35	civilization
35	dim
35	elusive
35	world
35	raced
35	fluctuated
35	eyes
35	splendid
35	architecture
35	rising
35	massive
35	buildings
35	time
35	built
35	glimmer
35	mist
35	richer
35	green
35	flow
35	hill
35	remain
35	wintry
35	intermission
35	veil
35	confusion
35	earth
35	fair
35	mind
35	round
35	business
35	stopping
35	peculiar
35	risk
35	lay
35	possibility
35	finding
35	substance
35	space
35	machine
35	occupied
35	travelled
35	velocity
35	time
35	scarcely
35	mattered
35	speak
35	attenuated
35	slipping
35	vapour
35	interstices
35	intervening
35	substances
35	stop
35	involved
35	jamming
35	molecule
35	molecule
35	lay
35	meant
35	bringing
35	atoms
35	intimate
35	contact
35	obstacle
35	profound
35	chemical
35	reaction
35	possibly
35	reaching
35	explosion
35	result
35	blow
35	apparatus
35	dimensions
35	unknown
35	possibility
35	occurred
35	machine
35	cheerfully
35	accepted
35	unavoidable
35	risk
35	risks
35	risk
35	inevitable
35	cheerful
35	light
35	insensibly
35	absolute
35	strangeness
35	sickly
35	jarring
35	swaying
35	machine
35	feeling
35	prolonged
35	falling
35	absolutely
35	upset
35	nerve
35	told
35	stop
35	gust
35	petulance
35	resolved
35	stop
35	forthwith
35	impatient
35	fool
35	lugged
35	lever
35	incontinently
35	reeling
35	flung
35	headlong
35	air
35	sound
35	clap
35	thunder
35	ears
35	stunned
35	moment
35	pitiless
35	hail
35	hissing
35	round
35	sitting
35	soft
35	turf
35	front
35	overset
35	machine
35	grey
35	presently
35	remarked
35	confusion
35	ears
35	looked
35	round
35	lawn
35	garden
35	surrounded
35	rhododendron
35	bushes
35	noticed
35	mauve
35	purple
35	blossoms
35	dropping
35	shower
35	beating
35	hail
35	stones
35	rebounding
35	dancing
35	hail
35	hung
35	cloud
35	machine
35	drove
35	ground
35	smoke
35	moment
35	wet
35	skin
35	fine
35	hospitality
35	travelled
35	innumerable
35	presently
35	fool
35	wet
35	stood
35	looked
35	round
35	colossal
35	figure
35	carved
35	apparently
35	white
35	stone
35	loomed
35	indistinctly
35	rhododendrons
35	hazy
35	downpour
35	world
35	invisible
35	sensations
35	hard
35	describe
35	columns
35	hail
35	grew
35	thinner
35	white
35	figure
35	distinctly
35	silver
35	birch
35	tree
35	touched
35	shoulder
35	white
35	marble
35	shape
35	winged
35	sphinx
35	wings
35	carried
35	vertically
35	spread
35	hover
